"EventTimeUtc","CorrelationId","Service","Category","Activity","Result","ResultReason","ActorType","ActorDisplayName","ActorObjectId","Target1Type","Target1DisplayName","Target1ObjectId","Target1UserPrincipalName","Target2Type","Target2DisplayName","Target2ObjectId","Target2UserPrincipalName","Target3Type","Target3DisplayName","Target3ObjectId","Target3UserPrincipalName"
"2026-08-11T15:02:49.5163828Z","bf9b8ea9-3c2b-4a07-a1f9-d0b74305e58c","Core Directory","UserManagement","Update user","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T15:02:49.2362383Z","d918f728-6369-4de9-9ca3-9a0318f33a26","Core Directory","GroupManagement","Remove member from group","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","Group","","6562e070-0174-4701-bc0e-226c746e4d2b","","","","",""
"2026-08-11T15:02:49.1121554Z","5d231fe3-b751-4ee9-8c74-1459193306fd","Core Directory","UserManagement","Remove app role assignment from user","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","ServicePrincipal","Sunhaven Care Portal - LAB","107aaaf3-cec4-49d8-b5ec-0998838af3c8","","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","",""
"2026-08-11T02:22:55.305722Z","ed4a9baf-0e73-4e2e-a76b-13e7e267a4f8","Authentication Methods","UserManagement","User registered security info","Success","User registered security info","User","Isabella Green (TEST)","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","User","Isabella Green (TEST)","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T02:22:55.222906Z","ccc30eec-c634-4186-ab1e-7f56df994dd0","Core Directory","UserManagement","Update user","Success","","Application","Azure Credential Configuration Endpoint Service","","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T02:22:55Z","92b745e4-dc05-4e6d-b69f-96fcecf12805","Authentication Methods","UserManagement","User registered all required security info","Success","User registered all required security info","User","Isabella Green (TEST)","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","User","Isabella Green (TEST)","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T02:22:49Z","37050f3e-abf0-4040-8099-88e71cd2a442","Authentication Methods","UserManagement","User registered security info","Success","User registered Authenticator App with Notification","User","Isabella Green (TEST)","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","User","Isabella Green (TEST)","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T02:22:48.2681209Z","43c92e4c-6f61-4c6e-bc9f-496ffc851964","Authentication Methods","UserManagement","User registered security info","Success","User registered security info","User","Isabella Green (TEST)","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","User","Isabella Green (TEST)","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T02:22:48.1834175Z","c978fc95-ecc2-46ec-9f85-fa6fd1cd4b0e","Core Directory","UserManagement","Update user","Success","","Application","Azure Credential Configuration Endpoint Service","","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T02:22:21Z","e2c07c4c-0ad7-4dc4-8dcd-911fd27a5377","Authentication Methods","UserManagement","User started security info registration","Success","User started the registration for Authenticator App with Notification","User","Isabella Green (TEST)","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","User","Isabella Green (TEST)","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T02:22:11.2684847Z","609210f7-7be3-4376-a274-967beded5722","Core Directory","UserManagement","Update user","Success","","Application","Azure MFA StrongAuthenticationService","","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T02:22:11.2248422Z","cc19d06a-bea3-458e-a743-97231b56fdd8","Core Directory","UserManagement","Update user","Success","","Application","Azure MFA StrongAuthenticationService","","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T02:21:47.7962525Z","6c77b183-2f20-4944-8c72-367d4de00c6c","Self-service Password Management","UserManagement","Change password (self-service)","Success","None","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","User","Isabella Green (TEST)","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T02:21:47.7296237Z","6202d774-c981-4227-a249-e6985db6e4f4","Core Directory","UserManagement","Update StsRefreshTokenValidFrom Timestamp","Success","","Application","Microsoft password reset service","","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T02:21:47.7286302Z","6202d774-c981-4227-a249-e6985db6e4f4","Core Directory","UserManagement","Change user password","Success","","Application","Microsoft password reset service","","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T02:21:47.6046275Z","6202d774-c981-4227-a249-e6985db6e4f4","Core Directory","UserManagement","Update PasswordProfile","Success","","Application","Microsoft password reset service","","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T01:50:31.7595489Z","81b9baaa-5e51-44f0-b79e-308088256a3d","Core Directory","UserManagement","Add app role assignment grant to user","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","ServicePrincipal","Sunhaven Care Portal - LAB","107aaaf3-cec4-49d8-b5ec-0998838af3c8","","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","",""
"2026-08-11T01:50:31.6187716Z","e118bf88-0bf7-4822-a6e5-79cf45e93ea3","Core Directory","GroupManagement","Add member to group","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","Group","","6562e070-0174-4701-bc0e-226c746e4d2b","","","","",""
"2026-08-11T01:50:31.3730494Z","afbe9a97-56d3-4f66-8d3e-af2092308510","Core Directory","UserManagement","Add user","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T01:50:31.205049Z","afbe9a97-56d3-4f66-8d3e-af2092308510","Core Directory","UserManagement","Update PasswordProfile","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
